"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","1","0","Incorrect credentials","0"
"0","","0","My info","1","0","Edit personal details","0"
"0","","0","Authentication","1","0","Empty fields validation","0"
"0","","0","Authentication","1","0","Successful login","0"
