"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3265","test_login_incorrect[chromium-Admin-wrong_password]","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","2153","test_login_empty[chromium]","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","7508","test_my_info[chromium]","tests","2026-09-08","passed","2026-09-08","","test_my_info","",""
"","3540","test_login_incorrect[chromium-incorrect_username-incorrect_password]","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","3676","test_my_info_required_fields[chromium]","tests","2026-09-08","passed","2026-09-08","","test_my_info","",""
"","4465","test_login_successfully[chromium]","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","2971","test_login_incorrect[chromium-wrong_username-admin1234]","tests","2026-09-08","passed","2026-09-08","","test_login","",""
